iter	MultiClass
0	1.723316321
1	1.471949598
2	1.301816406
3	1.174328766
4	1.076733372
5	0.9958053704
6	0.9289191918
7	0.8737847967
8	0.8261806131
9	0.786001789
10	0.7514018379
11	0.7212580188
12	0.694291235
13	0.6709815773
14	0.6504286375
15	0.6318484941
16	0.6150063562
17	0.5999885423
18	0.5868527834
19	0.5752934505
20	0.5645867612
21	0.5554117327
22	0.5471671822
23	0.5389281118
24	0.5321489877
25	0.5248983378
26	0.5185156577
27	0.5135137477
28	0.5080588411
29	0.5038763083
30	0.499859831
31	0.4962324114
32	0.4927139678
33	0.4892338226
34	0.4857365764
35	0.4826603373
36	0.4803758964
37	0.4782379601
38	0.4759198074
39	0.4741010387
40	0.472627663
41	0.4709014343
42	0.46907603
43	0.4674277579
44	0.4657056491
45	0.4648417071
46	0.4647042091
47	0.4637818449
48	0.4621218443
49	0.461239399
50	0.4601277998
51	0.4589854843
52	0.4580386339
53	0.4571708919
54	0.4563767322
55	0.4556790037
56	0.4543301714
57	0.4537962897
58	0.453199618
59	0.4527238899
60	0.4518857306
61	0.4510365828
62	0.4502313995
63	0.4498477197
64	0.4495355937
65	0.4482083359
66	0.4476324249
67	0.447266594
68	0.4469637601
69	0.4466497205
70	0.4462946326
71	0.4459120933
72	0.4454499139
73	0.4451006808
74	0.4445865905
75	0.4443124391
76	0.4441652859
77	0.4433148293
78	0.4425598681
79	0.4421593031
80	0.4420060362
81	0.4417348803
82	0.4412538064
83	0.4407976354
84	0.4405105093
85	0.4399937273
86	0.4392831474
87	0.4386368872
88	0.438330331
89	0.4379269702
90	0.4375963817
91	0.4371241201
92	0.4369070947
93	0.4365229639
94	0.4362501913
95	0.4359368489
96	0.4352682677
97	0.4347759166
98	0.4343313992
99	0.4338656429
