iter	Passed	Remaining
0	784	77700
1	1465	71825
2	2158	69783
3	2818	67636
4	3465	65847
5	4154	65081
6	4886	64920
7	5648	64952
8	6361	64323
9	7024	63224
10	7726	62514
11	8351	61246
12	9006	60277
13	10161	62417
14	12411	70331
15	14761	77495
16	16936	82690
17	19111	87063
18	21277	90707
19	23578	94314
20	25756	96893
21	27921	98992
22	30172	101010
23	32444	102740
24	34724	104174
25	36871	104943
26	39191	105961
27	41356	106345
28	43500	106501
29	45628	106466
30	47769	106324
31	50363	107022
32	52869	107340
33	53672	104187
34	54378	100988
35	55020	97814
36	55677	94801
37	56306	91868
38	56929	89043
39	57581	86372
40	58193	83742
41	58790	81186
42	59413	78756
43	60003	76367
44	60616	74086
45	61241	71892
46	61292	69116
47	61930	67091
48	62545	65098
49	63151	63151
50	63757	61256
51	64372	59420
52	64962	57608
53	65570	55856
54	66181	54148
55	66778	52468
56	67384	50833
57	67971	49220
58	68623	47687
59	69264	46176
60	69879	44676
61	70516	43219
62	71130	41774
63	71743	40355
64	72342	38953
65	72957	37584
66	73617	36259
67	74246	34939
68	74854	33630
69	75463	32341
70	76064	31068
71	76661	29812
72	77295	28588
73	77947	27387
74	78561	26187
75	79174	25002
76	79809	23839
77	80423	22683
78	81076	21552
79	81691	20422
80	82303	19305
81	82900	18197
82	83512	17104
83	84115	16022
84	84740	14954
85	85357	13895
86	85996	12850
87	86612	11810
88	87237	10782
89	87835	9759
90	88431	8745
91	89037	7742
92	89655	6748
93	90272	5762
94	90868	4782
95	91454	3810
96	92026	2846
97	92630	1890
98	93259	942
99	93842	0
